"","country","iso_code","median","lower_90","upper_90"
"1","Afghanistan","AFG",1.03,0.61,1.72
"2","Albania","ALB",1.01,0.84,1.3
"3","Algeria","DZA",0.98,0.89,1.15
"4","Angola","AGO",1.04,0.68,1.49
"5","Argentina","ARG",0.86,0.33,1.24
"6","Armenia","ARM",1.22,0.82,1.71
"7","Aruba","ABW",0.95,0.25,1.51
"8","Australia","AUS",0.64,0.19,1.05
"9","Austria","AUT",1.14,0.67,1.56
"10","Azerbaijan","AZE",1.06,0.64,1.57
"11","Bahamas","BHS",1.22,0.36,2.55
"12","Bahrain","BHR",1.07,0.73,1.44
"13","Bangladesh","BGD",0.92,0.72,1.09
"14","Belarus","BLR",0.99,0.74,1.21
"15","Belgium","BEL",1.06,0.32,1.88
"16","Belize","BLZ",1.06,0.35,1.81
"17","Benin","BEN",0.66,0,1.14
"18","Bolivia","BOL",0.88,0.4,1.47
"19","Bosnia & Herzegovina","BIH",0.98,0.74,1.21
"20","Brazil","BRA",0.96,0.85,1.02
"21","Bulgaria","BGR",1.31,0.86,2.04
"22","Cameroon","CMR",0.86,0.27,1.43
"23","Canada","CAN",0.95,0.3,1.63
"24","Cape Verde","CPV",1.08,0.49,1.59
"25","Central African Republic","CAF",0.76,0.14,1.2
"26","Chad","TCD",0.88,0.09,1.55
"27","Chile","CHL",0.99,0.9,1.11
"28","China","CHN",0.54,0,0.98
"29","Colombia","COL",0.99,0.81,1.18
"30","Comoros","COM",0.2,0,0.87
"31","Congo - Brazzaville","COG",0.96,0.19,1.85
"32","Congo - Kinshasa","COD",1.48,0.51,3.53
"33","Costa Rica","CRI",0.99,0.68,1.15
"34","Côte d’Ivoire","CIV",0.85,0.05,1.93
"35","Croatia","HRV",1.09,0.79,1.37
"36","Cuba","CUB",0.74,0.01,1.96
"37","Cyprus","CYP",0.24,0,0.86
"38","Czechia","CZE",1.3,0.96,1.7
"39","Denmark","DNK",1.03,0.42,1.64
"40","Djibouti","DJI",0.79,0.22,1.32
"41","Dominican Republic","DOM",0.86,0.51,1.24
"42","Ecuador","ECU",0.79,0,1.35
"43","Egypt","EGY",0.95,0.7,1.12
"44","El Salvador","SLV",0.97,0.65,1.35
"45","Equatorial Guinea","GNQ",0.22,0,1.03
"46","Eswatini","SWZ",0.91,0.54,1.25
"47","Ethiopia","ETH",1,0.71,1.35
"48","Finland","FIN",1.08,0.49,1.78
"49","France","FRA",1.18,0.94,1.54
"50","Gabon","GAB",0.79,0.11,1.24
"51","Gambia","GMB",0.71,0,1.23
"52","Georgia","GEO",1.4,0.72,1.84
"53","Germany","DEU",1.24,0.83,1.73
"54","Ghana","GHA",0.88,0.44,1.38
"55","Greece","GRC",1.14,0.74,1.64
"56","Guam","GUM",0.96,0.27,1.64
"57","Guatemala","GTM",1.05,0.83,1.51
"58","Guinea","GIN",0.94,0.46,1.33
"59","Guinea-Bissau","GNB",1.13,0.46,2.43
"60","Guyana","GUY",0.84,0.33,1.33
"61","Haiti","HTI",0.82,0.18,1.13
"62","Honduras","HND",0.91,0.35,1.21
"63","Hungary","HUN",1.24,0.66,1.95
"64","India","IND",0.93,0.78,1.07
"65","Indonesia","IDN",0.96,0.78,1.11
"66","Iran","IRN",1.07,0.78,1.32
"67","Iraq","IRQ",0.98,0.87,1.08
"68","Ireland","IRL",1.19,0.47,1.84
"69","Israel","ISR",0.92,0.44,1.33
"70","Italy","ITA",1.25,0.77,1.94
"71","Jamaica","JAM",1.01,0.45,1.68
"72","Japan","JPN",1.12,0.61,1.8
"73","Jersey","JEY",0.38,0,1.17
"74","Jordan","JOR",1.36,0.69,1.74
"75","Kazakhstan","KAZ",0.9,0.47,1.46
"76","Kenya","KEN",1.14,0.73,1.7
"77","Kosovo","XXK",0.87,0.56,1.21
"78","Kuwait","KWT",1.12,0.84,1.47
"79","Kyrgyzstan","KGZ",0.96,0,2.08
"80","Latvia","LVA",0.49,0,1.15
"81","Lebanon","LBN",1.01,0.75,1.21
"82","Lesotho","LSO",0.87,0.08,1.38
"83","Liberia","LBR",0.42,0,1.19
"84","Libya","LBY",1.04,0.79,1.37
"85","Lithuania","LTU",1.14,0.41,1.88
"86","Luxembourg","LUX",0.76,0,1.91
"87","Madagascar","MDG",0.83,0.34,1.17
"88","Malawi","MWI",0.77,0.24,1.38
"89","Malaysia","MYS",1.38,0.9,1.97
"90","Maldives","MDV",1.04,0.4,2.48
"91","Mali","MLI",1.05,0.51,1.72
"92","Malta","MLT",0.65,0,1.27
"93","Mauritania","MRT",0.75,0,1.33
"94","Mexico","MEX",0.97,0.78,1.13
"95","Moldova","MDA",1.05,0.92,1.22
"96","Montenegro","MNE",1.1,0.78,1.48
"97","Morocco","MAR",1.06,0.79,1.4
"98","Mozambique","MOZ",0.75,0.11,1.36
"99","Myanmar (Burma)","MMR",1.05,0.44,1.65
"100","Namibia","NAM",0.76,0.23,1.37
"101","Nepal","NPL",1.08,0.72,1.47
"102","Netherlands","NLD",1.13,0.25,2.07
"103","Nicaragua","NIC",0.89,0.01,1.74
"104","Niger","NER",0.71,0,1.21
"105","Nigeria","NGA",2.01,0.35,6.08
"106","North Macedonia","MKD",1.03,0.81,1.3
"107","Norway","NOR",0.88,0,1.64
"108","Oman","OMN",0.98,0.66,1.34
"109","Pakistan","PAK",1.15,0.79,1.6
"110","Palestinian Territories","PSE",0.92,0.55,1.19
"111","Panama","PAN",0.97,0.79,1.14
"112","Papua New Guinea","PNG",0.75,0,2.83
"113","Paraguay","PRY",0.87,0.52,1.22
"114","Peru","PER",0.9,0.22,1.67
"115","Philippines","PHL",0.94,0.62,1.26
"116","Poland","POL",1.28,0.94,1.64
"117","Portugal","PRT",1.15,0.89,1.42
"118","Puerto Rico","PRI",0.98,0.71,1.15
"119","Qatar","QAT",0.99,0.53,1.53
"120","Romania","ROU",1.09,0.87,1.35
"121","Russia","RUS",1.12,0.94,1.32
"122","Rwanda","RWA",0.95,0.46,1.42
"123","São Tomé & Príncipe","STP",0.85,0,2.56
"124","Saudi Arabia","SAU",0.96,0.81,1.07
"125","Senegal","SEN",0.87,0.56,1.13
"126","Serbia","SRB",1.12,0.68,1.7
"127","Sierra Leone","SLE",0.91,0.42,1.35
"128","Singapore","SGP",0.76,0,1.76
"129","Slovakia","SVK",1.28,0.77,1.98
"130","Slovenia","SVN",1.54,0.64,2.95
"131","Somalia","SOM",0.62,0,1.01
"132","South Africa","ZAF",1.04,0.69,1.44
"133","South Korea","KOR",0.79,0.21,1.32
"134","South Sudan","SSD",0.69,0,1
"135","Spain","ESP",1.04,0.71,1.35
"136","Sudan","SDN",0.39,0,1
"137","Suriname","SUR",0.79,0.17,1.37
"138","Sweden","SWE",0.97,0.57,1.24
"139","Switzerland","CHE",1.08,0.63,1.81
"140","Syria","SYR",1.11,0.59,1.76
"141","Tajikistan","TJK",0.97,0.4,1.31
"142","Togo","TGO",0.87,0.09,1.3
"143","Trinidad & Tobago","TTO",0.84,0.19,1.37
"144","Tunisia","TUN",1.21,0.67,1.52
"145","Turkey","TUR",1.07,0.74,1.48
"146","U.S. Virgin Islands","VIR",0.6,0,2.72
"147","Uganda","UGA",0.88,0.45,1.29
"148","Ukraine","UKR",1.08,0.9,1.32
"149","United Arab Emirates","ARE",1.08,0.79,1.49
"150","United Kingdom","GBR",1.26,0.81,1.68
"151","United States","USA",0.99,0.89,1.12
"152","Uruguay","URY",0.98,0.23,1.52
"153","Uzbekistan","UZB",0.96,0.74,1.16
"154","Venezuela","VEN",0.96,0.69,1.13
"155","Vietnam","VNM",0.43,0,1
"156","Yemen","YEM",0.87,0.48,1.19
"157","Zambia","ZMB",0.87,0.39,1.39
"158","Zimbabwe","ZWE",0.74,0.1,1.44
